Company/Brand,Year1,Revenue1,Year2,Revenue2,Year3,Revenue3,Year4,Revenue4,Year5,Revenue5,HQ,Sector,Founders,Investor,Amount($),Stage,What it does,,,,,,,,,,,,,,,
InnerChef,2018,12320000,2019,8800000,2020,3520000,2021,10560000,2022,15840000,Bangalore,E-commerce,Visakh Sasikumar,GAIL (India) Ltd,1760000,Venture - Series Unknown,InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,,,,,,,,,,,,,,,
LivQuik,2018,18900000,2019,13500000,2020,5400000,2021,16200000,2022,24300000,Noida,Fintech,Saurav Kumar,"Blume Ventures, Emergent Ventures",2700000,Corporate Round,LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,,,,,,,,,,,,,,,
Disprz,2018,2800000,2019,2000000,2020,800000,2021,2400000,2022,3600000,Noida,E-Learning,Malika Sadani,"Saama Capital, DSG Consumer Partners",400000,Debt Financing,"Disprz is a one-of-its-kind ?knowledge-tech? start-up that strives to make people knowledgeable, productive and smarter at what they do.",,,,,,,,,,,,,,,
YourOwnROOM,2018,5250000,2019,3750000,2020,1500000,2021,4500000,2022,6750000,Bangalore,Rental,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",750000,Seed,"Good quality, strategically located homes closer to work for millennials",,,,,,,,,,,,,,,
Vahdam Teas,2018,17500000,2019,12500000,2020,5000000,2021,15000000,2022,22500000,Bangalore,E-commerce,Manan Khurma,"Manta Ray Ventures Limited, Google?s Capital G, Sequoia India.",2500000,Series B,Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,,,,,,,,,,,,,,,
PharmEasy,2018,560000000,2019,400000000,2020,160000000,2021,480000000,2022,720000000,New Delhi,Health Care,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,80000000,Series C,PharmEasy - Indias largest healthcare delivery platform,,,,,,,,,,,,,,,
Licious,2018,175000000,2019,125000000,2020,50000000,2021,150000000,2022,225000000,Gurugram,Food & Beverages,,HNI investors,25000000,Series C,"Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",,,,,,,,,,,,,,,
Bounce (Metro Bikes),2018,21000000,2019,15000000,2020,6000000,2021,18000000,2022,27000000,Mumbai,Electric Vehicle,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",3000000,Debt Financing,"Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",,,,,,,,,,,,,,,
Goals101,2018,24500000,2019,17500000,2020,7000000,2021,21000000,2022,31500000,Bangalore,Financial Services,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",3500000,Seed,Goals101 is a one of the fastest growing big-data platforms.,,,,,,,,,,,,,,,
Satya MicroCapital,2018,2800000000,2019,2000000000,2020,800000000,2021,2400000000,2022,3600000000,Mumbai,Financial Services,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",400000000,Venture - Series Unknown,New Delhi-based non-banking financial company.,,,,,,,,,,,,,,,
Ummeed Housing Finance Private Limited,2018,4200000000,2019,3000000000,2020,1200000000,2021,3600000000,2022,5400000000,Ambernath,Financial Services,Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",600000000,Series C,Ummeed Housing Finance Private Limited,,,,,,,,,,,,,,,
StockEdge,2018,7700000,2019,5500000,2020,2200000,2021,6600000,2022,9900000,New Delhi,Analytics,Sarvesh Shashi,"Venture fund, Fireside Ventures.",1100000,Seed,"StockEdge is a unique platform, which is 100% focused on research and analytics",,,,,,,,,,,,,,,
Qbera,2018,980000000,2019,700000000,2020,280000000,2021,840000000,2022,1260000000,Bangalore,Financial Services,Paddy Padmanabhan,Saravanan Adiseshan,140000000,Venture - Series Unknown,Qbera is a managed marketplace for unsecured personal loans.,,,,,,,,,,,,,,,
Urban Ladder,2018,39200000,2019,28000000,2020,11200000,2021,33600000,2022,50400000,Bangalore,E-commerce,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",5600000,Debt Financing,Urban Ladder is a Bangalore-based online furniture company.,,,,,,,,,,,,,,,
Parkwheels,2018,84000000,2019,60000000,2020,24000000,2021,72000000,2022,108000000,Bangalore,Electric Vehicle,"Greg Moran, David Back",Zoomcar Inc,12000000,Seed,"Parkwheels aims at solving the big, bad & unsexy parking problems of India.",,,,,,,,,,,,,,,
ShareChat,2018,694610000,2019,496150000,2020,198460000,2021,595380000,2022,893070000,New Delhi,Information Technology,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",99230000,Series C,ShareChat is a social networking and regional content platform for the fast growing Internet users in India.,,,,,,,,,,,,,,,
Cyclops Medtech,2018,7000000,2019,5000000,2020,2000000,2021,6000000,2022,9000000,Bangalore,Health Care,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000,Seed,Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,,,,,,,,,,,,,,,
Livspace,2018,490000000,2019,350000000,2020,140000000,2021,420000000,2022,630000000,Gurugram,E-commerce,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",70000000,Series C,"Livspace is the new online shopping destination where you can design, decorate and furnish your dream home.",,,,,,,,,,,,,,,
Leena AI,2018,14000000,2019,10000000,2020,4000000,2021,12000000,2022,18000000,New Delhi,Artificial Intelligence,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,2000000,Seed,Leena is smart AI powered HR companion dedicated towards engaging employees.,,,,,,,,,,,,,,,
GoBolt,2018,2800000000,2019,2000000000,2020,800000000,2021,2400000000,2022,3600000000,New Delhi,Transportation,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",400000000,Venture - Series Unknown,Delhi-based logistics technology.,,,,,,,,,,,,,,,
Mate Labs,2018,3850000,2019,2750000,2020,1100000,2021,3300000,2022,4950000,Hyderabad,Artificial Intelligence,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",550000,Seed,Mate Labs is a machine learning solutions platform for beginners.,,,,,,,,,,,,,,,
Ola,2018,350000000,2019,250000000,2020,100000000,2021,300000000,2022,450000000,New Delhi,E-commerce,"Prasanna Manogaran, Bharani C L",Angel investors,50000000,Venture - Series Unknown,Ola is a mobile app that brings together cab drivers and customers using technology to make transportation hassle-free in India.,,,,,,,,,,,,,,,
DocPrime,2018,350000000,2019,250000000,2020,100000000,2021,300000000,2022,450000000,Ahmadabad,Health Care,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,50000000,Funding Round,DocPrime offers a one-stop healthcare solution right at the comfort of patients' homes.,,,,,,,,,,,,,,,
CLP India Pvt. Ltd.,2018,2555000000,2019,1825000000,2020,730000000,2021,2190000000,2022,3285000000,Bangalore,Renewable Energy,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",365000000,Private Equity,CLP India Pvt. Ltd. is a foreign investor in the Indian power sector.,,,,,,,,,,,,,,,
Myra,2018,61250000,2019,43750000,2020,17500000,2021,52500000,2022,78750000,Bangalore,Health Care,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",8750000,Venture - Series Unknown,Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.,,,,,,,,,,,,,,,
Vokal,2018,10500000,2019,7500000,2020,3000000,2021,9000000,2022,13500000,Bangalore,Information Technology,Ajay Sakhamuri,ICICI Bank.,1500000,Series A,India's Largest Peer-to-Peer Knowledge Sharing Platform in Indian Languages.,,,,,,,,,,,,,,,
Kissht,2018,210000000,2019,150000000,2020,60000000,2021,180000000,2022,270000000,Bangalore,Fintech,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",30000000,Series C,"Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales",,,,,,,,,,,,,,,
Upwards Fintech,2018,35000000,2019,25000000,2020,10000000,2021,30000000,2022,45000000,Pune,Financial Services,Meghana Narayan,Fireside Ventures,5000000,Series A,Upwards Fintech financial company.,,,,,,,,,,,,,,,
Bon(Bonfleet Solutions),2018,546000000,2019,390000000,2020,156000000,2021,468000000,2022,702000000,New Delhi,Fintech,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",78000000,Seed,"Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",,,,,,,,,,,,,,,
Mamaearth,2018,28000000,2019,20000000,2020,8000000,2021,24000000,2022,36000000,New Delhi,Health Care,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,4000000,Series A,Mamaearth is an online retailer specializing in baby and toddler products.,,,,,,,,,,,,,,,
Belstar Investment and Finance Private Limited,2018,196000000,2019,140000000,2020,56000000,2021,168000000,2022,252000000,Bangalore,Financial Services,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",28000000,Venture - Series Unknown,Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,,,,,,,,,,,,,,,
Naaptol,2018,105000000,2019,75000000,2020,30000000,2021,90000000,2022,135000000,Chennai,E-commerce,"Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",15000000,Venture - Series Unknown,"Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",,,,,,,,,,,,,,,
Verzeo,2018,35000000,2019,25000000,2020,10000000,2021,30000000,2022,45000000,Gurugram,E-Learning,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",5000000,Series A,Verzeo is anAI-focussed edtech startup.,,,,,,,,,,,,,,,
Haazri,2018,87500000,2019,62500000,2020,25000000,2021,75000000,2022,112500000,Mumbai,Food & Beverages,Prashant Agarwal,"BlackSoil, Caspian",12500000,Seed,Haazri is a tea and snack quick service restaurant startup,,,,,,,,,,,,,,,
Chaayos,2018,5670000000,2019,4050000000,2020,1620000000,2021,4860000000,2022,7290000000,Mumbai,Food & Beverages,Vikrant Varshney,,810000000,Series B,Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,,,,,,,,,,,,,,,
LT Foods,2018,9800000000,2019,7000000000,2020,2800000000,2021,8400000000,2022,12600000000,New Delhi,Food & Beverages,Sujit Bangar,Zenith Global,1400000000,Post-IPO Equity,LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,,,,,,,,,,,,,,,
Multibashi,2018,70000000,2019,50000000,2020,20000000,2021,60000000,2022,90000000,Bangalore,E-Learning,Karanpal Singh,,10000000,Seed,Free language learning platform.,,,,,,,,,,,,,,,
Dailyhunt,2018,42000000,2019,30000000,2020,12000000,2021,36000000,2022,54000000,New Delhi,Information Technology,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",6000000,Series E,NewsHunt is a Bangalore based eBooks company.,,,,,,,,,,,,,,,
SlicePay,2018,104300000,2019,74500000,2020,29800000,2021,89400000,2022,134100000,Bangalore,Fintech,Naveen Tewari,Mithril Capital Management.,14900000,Series A,SlicePay is an AI based instant credit app for youngsters in India.,,,,,,,,,,,,,,,
Udaan,2018,1575000000,2019,1125000000,2020,450000000,2021,1350000000,2022,2025000000,Panchkula,Marketplace,"Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,225000000,Series C,"Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",,,,,,,,,,,,,,,
Mombay,2018,52500,2019,37500,2020,15000,2021,45000,2022,67500,New Delhi,Food & Beverages,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,7500,Seed,Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes.,,,,,,,,,,,,,,,
Droni Tech,2018,245000000,2019,175000000,2020,70000000,2021,210000000,2022,315000000,Bangalore,Information Technology,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",35000000,Seed,Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,,,,,,,,,,,,,,,
Netmeds,2018,245000000,2019,175000000,2020,70000000,2021,210000000,2022,315000000,Pune,Health Care,Nirmal Shah,"Delhi Private School, UAE, Interstar",35000000,Series C,Welcome to India's most convenient pharmacy!,,,,,,,,,,,,,,,
Bombay Shaving,2019,44100000,2020,31500000,2021,12600000,2022,37800000,2023,56700000,New Delhi,E-commerce,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,6300000,,Provides a range of male grooming products,,,,,,,,,,,,,,,
Ruangguru,2019,1050000000,2020,750000000,2021,300000000,2022,900000000,2023,1350000000,New Delhi,EdtTech,Ronak Sarda,Angel investors,150000000,Series C,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",,,,,,,,,,,,,,,
Eduisfun,2019,196000000,2020,140000000,2021,56000000,2022,168000000,2023,252000000,Thane,EdtTech,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,28000000,Fresh funding,It aims to make learning fun via games.,,,,,,,,,,,,,,,
HomeLane,2019,210000000,2020,150000000,2021,60000000,2022,180000000,2023,270000000,Bangalore,Home Decor,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,30000000,Series D,Provides interior designing solutions,,,,,,,,,,,,,,,
Nu Genes,2019,42000000,2020,30000000,2021,12000000,2022,36000000,2023,54000000,Gurugram,AgriTech,Dr Prashant Soma,Blacksoil,6000000,,"It is a seed company engaged in production, processing and marketing of seeds",,,,,,,,,,,,,,,
Kratikal,2019,7000000,2020,5000000,2021,2000000,2022,6000000,2023,9000000,New Delhi,Technology,Sundeep Mohindru,"BEENEXT, Mayfield Fund",1000000,Pre series A,It is a product-based cybersecurity solutions provider,,,,,,,,,,,,,,,
Quantiphi,2019,140000000,2020,100000000,2021,40000000,2022,120000000,2023,180000000,Bangalore,Artificial Intelligence,Shivanand N,"NIIF Ltd, CDC Group",20000000,Series A,It is an AI and big data services company providing business solutions.,,,,,,,,,,,,,,,
Lenskart,2019,1925000000,2020,1375000000,2021,550000000,2022,1650000000,2023,2475000000,Bangalore,E-commerce,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",275000000,Series G,It is a eyewear company,,,,,,,,,,,,,,,
Appnomic,2019,154000000,2020,110000000,2021,44000000,2022,132000000,2023,198000000,Bangalore,SaaS,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",22000000,,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",,,,,,,,,,,,,,,
Kaleidofin,2019,35000000,2020,25000000,2021,10000000,2022,30000000,2023,45000000,New Delhi,Fintech,"Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,5000000,Series A,Platform that provides complete financial solutions for excluded individuals and households,,,,,,,,,,,,,,,
JobSquare,2019,983500,2020,702500,2021,281000,2022,843000,2023,1264500,New Delhi,HR tech,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,140500,,Technology-based platform that is connecting suitable applicants to the right recruiters,,,,,,,,,,,,,,,
LivFin,2019,35000000,2020,25000000,2021,10000000,2022,30000000,2023,45000000,New Delhi,Fintech,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",5000000,,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",,,,,,,,,,,,,,,
Byju's,2019,3780000000,2020,2700000000,2021,1080000000,2022,3240000000,2023,4860000000,Mumbai,EdtTech,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",540000000,,Provides online learning classes,,,,,,,,,,,,,,,
Zest Money,2019,105000000,2020,75000000,2021,30000000,2022,90000000,2023,135000000,Bangalore,Fintech,"Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",15000000,Series B,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,,,,,,,,,,,,,,,
Witblox,2019,1278900,2020,913500,2021,365400,2022,1096200,2023,1644300,Bangalore,EdtTech,Sumit Sanjay Singare,India Angel Fund,182700,,Offers a range of robotics learning tools,,,,,,,,,,,,,,,
SalaryFits,2019,35000000,2020,25000000,2021,10000000,2022,30000000,2023,45000000,Mumbai,Fintech,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,5000000,,A platform that promotes financial well-being of employees at workplace,,,,,,,,,,,,,,,
Pristyn Care,2019,84000000,2020,60000000,2021,24000000,2022,72000000,2023,108000000,New Delhi,Health Care,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",12000000,Series B,Delivers advanced medical care & clinical excellence aided by next-level technology,,,,,,,,,,,,,,,
Springboard,2019,77000000,2020,55000000,2021,22000000,2022,66000000,2023,99000000,Bangalore,EdtTech,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",11000000,Post series A,Offers online courses and extensive mentor-based learning,,,,,,,,,,,,,,,
Medlife,2019,108500000,2020,77500000,2021,31000000,2022,93000000,2023,139500000,Andheri,Pharmacy,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",15500000,,It solves inadequacies in the healthcare delivery system through technology,,,,,,,,,,,,,,,
Seekify,2019,10500000,2020,7500000,2021,3000000,2022,9000000,2023,13500000,Gurugram,SaaS,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",1500000,Seed funding,Customer Experience (CX) Automation platform,,,,,,,,,,,,,,,
Toffee Insurance,2019,38500000,2020,27500000,2021,11000000,2022,33000000,2023,49500000,Noida,Insurtech,Manan Khurma,"Sequoia Capital India, CapitalG",5500000,Series A,Provides variety of insurance plans and policies,,,,,,,,,,,,,,,
Fireflies .ai,2019,35000000,2020,25000000,2021,10000000,2022,30000000,2023,45000000,Mumbai,Artificial Intelligence,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",5000000,,Developer of an artificial intelligence-powered assistant for businesses,,,,,,,,,,,,,,,
HungerBox,2019,84000000,2020,60000000,2021,24000000,2022,72000000,2023,108000000,Mumbai,FoodTech,"Harsh Rajat, Richa Joshi",Prolific angel investors,12000000,Series C,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",,,,,,,,,,,,,,,
Bijak,2019,17500000,2020,12500000,2021,5000000,2022,15000000,2023,22500000,Bangalore,AgriTech,Palani Rajan,Nativelead Foundation,2500000,Seed fund,B2B platform for agricultural commodities.,,,,,,,,,,,,,,,
Licious,2019,210000000,2020,150000000,2021,60000000,2022,180000000,2023,270000000,Gurugram,Food Delivery,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",30000000,Series E,Online meat shop,,,,,,,,,,,,,,,
truMe,2019,980000,2020,700000,2021,280000,2022,840000,2023,1260000,Gurugram,Information Technology,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",140000,,A global platform for Identity and Access Management,,,,,,,,,,,,,,,
Rivigo,2019,140000000,2020,100000000,2021,40000000,2022,120000000,2023,180000000,Bangalore,Logistics & Supply Chain,Sanjeev Bikhchandani,Lightbox,20000000,Series F,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",,,,,,,,,,,,,,,
HappyEasyGo,2019,345800000,2020,247000000,2021,98800000,2022,296400000,2023,444600000,Mumbai,Travel,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",49400000,Series B+,Online flight booking,,,,,,,,,,,,,,,
Zetwerk,2019,224000000,2020,160000000,2021,64000000,2022,192000000,2023,288000000,Haryana,Manufacturing,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",32000000,Series B,Provides facilities to get products manufactured.,,,,,,,,,,,,,,,
Observe.AI,2019,182000000,2020,130000000,2021,52000000,2022,156000000,2023,234000000,Hyderabad,Artificial Intelligence,Kunal Shah,"General Catalyst, Ribbit Capital",26000000,Series A,Creates a voice AI platform,,,,,,,,,,,,,,,
Freshokartz,2019,1050000,2020,750000,2021,300000,2022,900000,2023,1350000,Bangalore,Marketplace,Rajendra Lora,ThinkLab,150000,Pre series A,Online fruits and vegetables delivery company,,,,,,,,,,,,,,,
Lil? Goodness and sCool meal,2019,2800000,2020,2000000,2021,800000,2022,2400000,2023,3600000,Mumbai,Food & Beverages,Deepak Anchala,"Sajan Pillai, Muthu Krishnan,",400000,,It empowers moms to provide the best of foods to their Lil' ones,,,,,,,,,,,,,,,
Trell,2019,14000000,2020,10000000,2021,4000000,2022,12000000,2023,18000000,New Delhi,Media,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000,Pre series A,Blogging platform that enables people to create visual collections of their travel and local experiences,,,,,,,,,,,,,,,
Bombay Shirt Company,2019,56000000,2020,40000000,2021,16000000,2022,48000000,2023,72000000,Ahmadabad,E-commerce,Akshay Narvekar,Lightbox Ventures,8000000,,Online custom shirt brand,,,,,,,,,,,,,,,
Slintel,2019,10500000,2020,7500000,2021,3000000,2022,9000000,2023,13500000,Gurugram,SaaS,Deepak Anchala,Stellaris Ventures,1500000,,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",,,,,,,,,,,,,,,
Rein Games,2019,350000000,2020,250000000,2021,100000000,2022,300000000,2023,450000000,Chennai,Technology,"Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000,Pre series A,"It develops, publishes and distributes games across various platforms",,,,,,,,,,,,,,,
Ecozen,2019,42000000,2020,30000000,2021,12000000,2022,36000000,2023,54000000,Mumbai,AgriTech,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),6000000,Series A,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,,,,,,,,,,,,,,,
Box8,2019,840000000,2020,600000000,2021,240000000,2022,720000000,2023,1080000000,Noida,FoodTech,"Amit Raj, Anshul Gupta",Trifecta Capital,120000000,,Enables to order food online,,,,,,,,,,,,,,,
Purplle,2019,210000000,2020,150000000,2021,60000000,2022,180000000,2023,270000000,Hyderabad,Cosmetics,"Manish Taneja, Rahul Dash",Goldman Sachs,30000000,Series C,Online makeup and beauty products retailer,,,,,,,,,,,,,,,
Freightwalla,2019,28000000,2020,20000000,2021,8000000,2022,24000000,2023,36000000,Gurugram,B2B,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",4000000,Series A,Provides digital platform for businesses to plan and manage their international freight shipments online,,,,,,,,,,,,,,,
Origo,2019,47600000,2020,34000000,2021,13600000,2022,40800000,2023,61200000,Bangalore,AgriTech,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,ØØTriodos Investment Management",6800000,,It provides post-harvest management services for agricultural commodities,,,,,,,,,,,,,,,
WishADish,2019,42000000,2020,30000000,2021,12000000,2022,36000000,2023,54000000,New Delhi,FoodTech,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,6000000,,Provides management solution for restaurants,,,,,,,,,,,,,,,
Ecom Express,2019,252000000,2020,180000000,2021,72000000,2022,216000000,2023,324000000,Bangalore,Logistics & Supply Chain,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,36000000,,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,,,,,,,,,,,,,,,
PiBeam,2019,350000000,2020,250000000,2021,100000000,2022,300000000,2023,450000000,Bangalore,Electric Vehicle,Visakh Sasikumar,GAIL (India) Ltd,50000000,,It is engaged in building sustainable and affordable micro-mobility electric vehicles,,,,,,,,,,,,,,,
Euler Motors,2019,14000000,2020,10000000,2021,4000000,2022,12000000,2023,18000000,Gurugram,Electric Vehicle,Saurav Kumar,"Blume Ventures, Emergent Ventures",2000000,,It is offering mobility as a service,,,,,,,,,,,,,,,
Moms Co,2019,35000000,2020,25000000,2021,10000000,2022,30000000,2023,45000000,Chennai,E-commerce,Malika Sadani,"Saama Capital, DSG Consumer Partners",5000000,Series B,It is into mother and baby care-focused consumer goods,,,,,,,,,,,,,,,
Lawyered,2019,700000,2020,500000,2021,200000,2022,600000,2023,900000,Bangalore,Legal Services,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000,,It helps to connect to legal advise online,,,,,,,,,,,,,,,
Cuemath,2019,38500000,2020,27500000,2021,11000000,2022,33000000,2023,49500000,Kolkata,EdtTech,Manan Khurma,"Manta Ray Ventures Limited, Google?s Capital G, Sequoia India.",5500000,,It helps students to learn math online,,,,,,,,,,,,,,,
Licious,2019,175000000,2020,125000000,2021,50000000,2022,150000000,2023,225000000,Hyderabad,Food Delivery,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000,Series D,Online meat shop,,,,,,,,,,,,,,,
Smart Institute,2019,10500000,2020,7500000,2021,3000000,2022,9000000,2023,13500000,Kolkata,EdtTech,,HNI investors,1500000,,A platform to learn online,,,,,,,,,,,,,,,
CarDekho,2019,490000000,2020,350000000,2021,140000000,2022,420000000,2023,630000000,Bangalore,Electric Vehicle,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000,Series D,Enables people to buy and sell new/old cars.,,,,,,,,,,,,,,,
Shadowfax,2019,420000000,2020,300000000,2021,120000000,2022,360000000,2023,540000000,Bangalore,Logistics & Supply Chain,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000,Series D,A platform for delivery services,,,,,,,,,,,,,,,
Credr,2019,42000000,2020,30000000,2021,12000000,2022,36000000,2023,54000000,Chennai,Electric Vehicle,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000,,A marketplace to buy and sell used bikes and scooters,,,,,,,,,,,,,,,
Phable,2019,1540000,2020,1100000,2021,440000,2022,1320000,2023,1980000,Gurugram,Health Care,Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000,,"It creates an engagement loop between doctors, hospitals, and patients via its app",,,,,,,,,,,,,,,
Sarva,2019,19600000,2020,14000000,2021,5600000,2022,16800000,2023,25200000,Bangalore,Health Care,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2800000,,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,,,,,,,,,,,,,,,
IndyFint,2019,14700000,2020,10500000,2021,4200000,2022,12600000,2023,18900000,Telugana,AR/VR,Paddy Padmanabhan,Saravanan Adiseshan,2100000,Series A,"It helps lenders to directly provide short-term loans to merchants, employees, and students",,,,,,,,,,,,,,,
Ola,2019,2177000000,2020,1555000000,2021,622000000,2022,1866000000,2023,2799000000,Bangalore,Transportation,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000,,It enables one to book cab online,,,,,,,,,,,,,,,
Zoomcar,2019,33600000,2020,24000000,2021,9600000,2022,28800000,2023,43200000,New Delhi,Transportation,"Greg Moran, David Back",Zoomcar Inc,4800000,,A car rental service platform,,,,,,,,,,,,,,,
