Company/Brand,Year,HQ,Sector,Revenue,Founders,Investor,Amount($),Stage,What it does,Latitude,Longitude
Signzy,2020,Mumbai,Artificial Intelligence,21000000,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",3000000,,Signzy are creating 'building blocks for a Digital Trust system.,19.0759837,72.8776559
Kyt,2020,Bangalore,EdtTech,17500000,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India?s Surge,2500000,,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,12.9715987,77.5945627
Raskik,2020,Pune,Food & Beverages,7000000,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",1000000,Pre-series A,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,18.5204303,73.8567437
GetWork,2020,Bangalore,HR tech,280000,Rahul Veerwal,India Accelerator,40000,Pre-seed,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,12.9715987,77.5945627
Mobile Premier League (MPL),2020,Bangalore,Gaming,3500000,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000,Series B,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,12.9715987,77.5945627
NewsReach,2020,Chennai,Digital platform,10500000,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000,Seed,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,13.0826802,80.2707184
Cashfree,2020,Gurugram,Fintech,245000000,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000,Series B,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,28.4594965,77.0266383
Credgenics,2020,New Delhi,Fintech,21000000,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000,Pre-series A,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",28.6139391,77.2090212
GeoIQ,2020,Bangalore,Artificial Intelligence,2100000,"Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000,Seed,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",12.9715987,77.5945627
CARS24,2020,Bangalore,Health Care,1400000000,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",200000000,Series E,CARS24 is an India-based platform for selling used cars.,12.9715987,77.5945627
Cityflo,2020,Mumbai,Transportation,49000000,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000,Series A,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,19.0759837,72.8776559
Credgenics,2020,Bangalore,Fintech,21000000,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000,Pre-series A,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",12.9715987,77.5945627
Ensuredit,2020,Bangalore,Fintech,2100000,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000,Pre-series A,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,12.9715987,77.5945627
Shipsy,2020,Bangalore,Artificial Intelligence,42000000,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",6000000,Series A,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,12.9715987,77.5945627
ERPNext,2020,Gurugram,Technology,7000000,Rushabh Mehta,Rainmatter,1000000,,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",28.4594965,77.0266383
Yellow Classes,2020,Chennai,EdtTech,9100000,"Arpit Mittal, Anshul Gupta",India Quotient,1300000,Pre-series A,New-age fun-learning platform for kids.,13.0826802,80.2707184
Plum,2020,Bangalore,Health Care,28700000,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",4100000,,High quality health insurance and health benefits,12.9715987,77.5945627
STAGE,2020,Mumbai,Entertainment,7000000,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000,,STAGE is an Indian language content platform for artist-led entertainment.,19.0759837,72.8776559
NIRA,2020,Bangalore,Fintech,7000000,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",1000000,,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",12.9715987,77.5945627
Byju's,2020,New Delhi,EdtTech,1400000000,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",200000000,,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,28.6139391,77.2090212
DaMENSCH,2020,Gurugram,E-commerce,42000000,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",6000000,,DaMENSCH is a designer and seller of men's apparel.,28.4594965,77.0266383
Country Delight,2020,Mumbai,Food & Beverages,175000000,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000,Series C,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,19.0759837,72.8776559
SignalX,2020,New Delhi,Artificial Intelligence,5600000,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000,Seed,SignalX offers an artificial intelligence-powered SaaS platform,28.6139391,77.2090212
Lancify,2020,Mumbai,EdtTech,2100000,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000,,Lancify is building the world's strongest young workforce,19.0759837,72.8776559
Krimanshi,2020,Bangalore,Biotechnology,4200000,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000,Seed,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,12.9715987,77.5945627
Instoried,2020,Satara,Artificial Intelligence,7000000,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000,Pre-series A,Instoried is an augmented writing platform which improves customer interest and engagement.,17.6804639,74.018261
PlayerzPot,2020,Mumbai,Gaming,21000000,"Yogesh, Mitesh Gangar",,3000000,Series A,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",19.0759837,72.8776559
Turtlemint,2020,Bangalore,Health Care,210000000,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",30000000,,Turtlemint has built Indian personalized insurance platform,12.9715987,77.5945627
Arata,2020,Ahmadabad,E-commerce,7000000,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,1000000,Pre-series A,Arata is an e-commerce site for beauty products and cosmetics.,23.022505,72.5713621
MPL,2020,Orissia,Gaming,35000000,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000,,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,,
True Balance,2020,Bangalore,Fintech,196000000,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",28000000,,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,12.9715987,77.5945627
Prescribe,2020,New Delhi,Health Care,700000,Nived Narayanan,Titan Capital,100000,,Provide online services to patients by leveraging WhatsApp.,28.6139391,77.2090212
Nepra,2020,Bangalore,Cleantech,126000000,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",18000000,Series C,NEPRA Resource Management provides waste management solutions in India.,12.9715987,77.5945627
inFeedo,2020,Mumbai,SaaS,22400000,Tanmaya Jain,"Peyush Bansal, Ritesh Malik",3200000,,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",19.0759837,72.8776559
MindTickle,2020,Mumbai,SaaS,700000000,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",100000000,Debt,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,19.0759837,72.8776559
Krimanshi,2020,Mumbai,Biotechnology,4200000,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000,Seed,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,19.0759837,72.8776559
Slice,2020,Jaipur,Fintech,35000000,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",5000000,Debt,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,26.9124336,75.7872709
Rapawalk,2020,Chandigarh,E-commerce,2100000,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",300000,Seed,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,30.7333148,76.7794179
Stride Ventures,2020,Bangalore,Venture capitalist,560000000,Ishpreet Gandhi,Small Industries Development Bank of India,80000000,,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,12.9715987,77.5945627
BlackSoil,2020,Chennai,Fintech,70000000,Ankur Bansal,,10000000,,Blacksoil Advisory is an independent boutique advisory firm.,13.0826802,80.2707184
Biocon,2020,Mumbai,Health Care,105000000,Kiran Mazumdar-Shaw,Goldman Sachs,15000000,,"Biocon is a healthcare and technology, company focused on biotechnology.",19.0759837,72.8776559
Clientjoy,2020,Bangalore,SaaS,5600000,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",800000,Pre-series A,Client Management Software For Modern Agencies.,12.9715987,77.5945627
Xpressbees,2020,Jodhpur,E-commerce,700000000,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital",100000000,,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,26.2389469,73.0243094
Wellness Forever,2020,Bangalore,Health Care,700000000,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group",100000000,,Wellness Forever is the one-stop destination for wellness,12.9715987,77.5945627
MoooFarm,2020,Bangalore,AgriTech,3500000,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",500000,Pre-seed,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,12.9715987,77.5945627
Gonuts,2020,Pune,Entertainment,2800000,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",400000,Seed,Personalised Video shoutouts from favourite celebrity.,18.5204303,73.8567437
Uolo,2020,Bangalore,EdtTech,14000000,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",2000000,Seed,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,12.9715987,77.5945627
Kirana King,2020,Noida,Health Care,6300000,Anup Kumar,Rajasthan Venture Capital Fund,900000,Pre-series A,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",28.5355161,77.3910265
Jade Forest,2020,Pune,Food & Beverages,1750000,"Punweet Singh, Shuchir Suri",,250000,Seed,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",18.5204303,73.8567437
FrontRow,2020,Mumbai,EdtTech,22400000,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",3200000,Seed,"Comprehensive courses, taught by idols.",19.0759837,72.8776559
Reliance Retail,2020,Mumbai,E-commerce,70000000,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC",10000000,,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,19.0759837,72.8776559
Ather Energy,2020,Bangalore,Electric Vehicle,245000000,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,35000000,Series D,Ather Energy is a manufacturer of electric scooters.,12.9715987,77.5945627
Routematic,2020,Mumbai,SaaS,14000000,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra",2000000,,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,19.0759837,72.8776559
LivFin,2020,New Delhi,Fintech,32900000,Rakesh Malhotra,"DEG, KFW DEG",4700000,,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),28.6139391,77.2090212
Eggoz,2020,Bangalore,Food & Beverages,10500000,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",1500000,Pre-series A,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",12.9715987,77.5945627
CHARGE+ZONE,2020,Bangalore,Electric Vehicle,21000000,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,3000000,Pre-series A,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",12.9715987,77.5945627
Stones2milestones,2020,Gurugram,EdtTech,14000000,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2000000,Bridge,Stones2milestones is India (Delhi) Based EdTech Company,28.4594965,77.0266383
Udacity,2020,Bangalore,EdtTech,525000000,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",75000000,Debt,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",12.9715987,77.5945627
AjnaLens,2020,Bangalore,AR/VR,7000000,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",1000000,Bridge,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",12.9715987,77.5945627
Gully Network,2020,Mumbai,E-commerce,8400000,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",1200000,Pre-series A,Gully Network is a tech-enabled network of mid-sized grocery stores.,19.0759837,72.8776559
Svami,2020,Mumbai,Food & Beverages,5600000,Sahil Jatana,"Niren Shah, Rukam Capital Trust",800000,,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,19.0759837,72.8776559
Dhurnia,2020,Bangalore,EdtTech,700000,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",100000,,Developer of an online learning platform intended for various competitive exam preparations.,12.9715987,77.5945627
Leena AI,2020,New Delhi,Artificial Intelligence,56000000,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",8000000,,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,28.6139391,77.2090212
Bizlog,2020,Pune,Logistics & Supply Chain,7000000,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,1000000,,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,18.5204303,73.8567437
Tamasha.live,2020,Mumbai,Gaming,2100000,"Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",300000,,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",19.0759837,72.8776559
Fedo,2020,Bangalore,Artificial Intelligence,7000000,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,1000000,,Artificial Intelligence based Credit Score for Health,12.9715987,77.5945627
FabHotels,2020,Mumbai,Hospitality,7000000,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",1000000,,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,19.0759837,72.8776559
Freshokartz,2020,New Delhi,AgriTech,7000000,"Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000,Pre-series A,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",28.6139391,77.2090212
FlexiLoans,2020,Hyderabad,Fintech,42000000,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,6000000,Debt,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",17.385044,78.486671
FreshtoHome,2020,New Delhi,E-commerce,847000000,Shan Kadavil,"Ascent Capital, Iron Pillar",121000000,Series C,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,28.6139391,77.2090212
Credable,2020,Noida,Fintech,31500000,Nirav Choksi,Oaks Asset Management,4500000,,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,28.5355161,77.3910265
Railofy,2020,Bangalore,Transportation,35000000,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",5000000,Seed,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,12.9715987,77.5945627
Finova Capital,2020,Bangalore,Fintech,385000000,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",55000000,,Finova Capital is a non-banking financial company.,12.9715987,77.5945627
Teachmint,2020,Pune,EdtTech,24500000,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,3500000,Seed,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,18.5204303,73.8567437
Peel-Works,2020,Surat,E-commerce,21000000,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle",3000000,,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,21.1702401,72.8310607
Credgenics,2020,Lucknow,Fintech,23100000,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",3300000,Seed,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",26.8466937,80.946166
Jumbotail,2020,Ahmedabad,E-commerce,77000000,"Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000,Series B2,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",23.022505,72.5713621
Winzo,2020,Gurugram,Gaming,14000000,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",2000000,,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,28.4594965,77.0266383
mCaffeine,2020,Bangalore,Cosmetics,35000000,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",5000000,Series B,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",12.9715987,77.5945627
FreshtoHome,2020,Chennai,E-commerce,112000000,Shan Kadavil,"Ascent Capital, Iron Pillar",16000000,,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,13.0826802,80.2707184
Jumbotail,2020,Bangalore,Health Care,77000000,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",11000000,Series B2,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,12.9715987,77.5945627
Genius Teacher,2020,Bangalore,EdtTech,14000000,"Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus",2000000,,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",12.9715987,77.5945627
Krimanshi Feeds,2020,Bangalore,Nutrition,3500000,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",500000,,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,12.9715987,77.5945627
Origo,2020,Mumbai,AgriTech,28000000,"Sunoor Kaul,",Northern Arc Capital,4000000,Debt,Provider of marketing and warehousing services for agricultural commodities.,19.0759837,72.8776559
GetVantage,2020,New Delhi,Fintech,35000000,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts",5000000,Seed,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,28.6139391,77.2090212
Betterplace,2020,Bangalore,Technology,70000000,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures,10000000,Series B,Developer of a digital verification platform designed to manage the semi-formal workforce.,12.9715987,77.5945627
Biddano,2020,Gurugram,Health Care,4200000,Talha Shaikh,Windrose Capital,600000,Pre-series A,India's 1st tech-enabled healthcare logistics platform.,28.4594965,77.0266383
Hubilo,2020,Santra,Technology,31500000,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle",4500000,Seed,World?s smartest virtual event platform that brings Experience & Intelligence together,,
BASIC Home Loan,2020,Bangalore,Fintech,35000000,Atul Monga,Picus Capital,5000000,Seed,"A platform for automating home loans for middle and low-income households in India,",12.9715987,77.5945627
Ketos,2020,Mumbai,Artificial Intelligence,126000000,Meena Sankaran,"Citi Ventures, Illuminated Funds Group",18000000,,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,19.0759837,72.8776559
SUGAR cosmetics,2020,Trivandrum,Cosmetics,14000000,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd",2000000,Debt,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,8.5241391,76.9366376
Signzy,2020,Bangalore,Fintech,37800000,"Ankit Ratan, Ankur Pandey, Arpit Ratan","GenNext Ventures, Contrarian Drishti Partners",5400000,,It is creating 'building blocks for a Digital Trust system.,12.9715987,77.5945627
Tekion,2020,Gurugram,Artificial Intelligence,1050000000,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",150000000,Series C,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,28.4594965,77.0266383
Brighteye Ventures,2020,Ahmedabad,EdtTech,37800000,David guerin,Tandem,5400000,,Education technology venture capital firm.,23.022505,72.5713621
EzeRx,2020,Jaipur,Pharmacy,1400000,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",200000,Seed,Developer and manufacturer of medical devices,26.9124336,75.7872709
VitalTech,2020,Bangalore,Health Care,21000000,Anjan Panneer Selvam,Tech Mahindra,3000000,Seed,"VitalTech is a develop technologies that empower patients to better care for their safety,",12.9715987,77.5945627
Genius Teacher,2020,Pune,EdtTech,14000000,"Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP.",2000000,,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",18.5204303,73.8567437
Ultraviolette Automotive,2020,Gurugram,Electric Vehicle,28000000,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,4000000,Series B,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,28.4594965,77.0266383
GoodGamer,2020,Hyderabad,Gaming,17500000,Charles Creighton,,2500000,Seed,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,17.385044,78.486671
InnAccel,2020,New Delhi,Pharmacy,10500000,Siraj Dhanani,Mount Judi Ventures,1500000,Pre-series A,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",28.6139391,77.2090212
Tiliter,2020,Gurugram,Health Care,52500000,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec",7500000,,Software that uses computer vision to recognise products without barcodes,28.4594965,77.0266383
Slintel,2020,Bangalore,Marketplace,29400000,"Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners",4200000,,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",12.9715987,77.5945627
SoOLEGAL,2020,New Delhi,Legal Services,28000000,Manish Kaul,,4000000,,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",28.6139391,77.2090212
HobSpace,2020,Bangalore,EdtTech,1400000,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000,Seed,India's Activity Hub for Kids,12.9715987,77.5945627
Supplynote,2020,Gurugram,SaaS,3500000,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV",500000,Seed,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,28.4594965,77.0266383
ShopUp,2020,Bangalore,E-commerce,154000000,"Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",22000000,Series A,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",12.9715987,77.5945627
Zomato,2020,Bangalore,FoodTech,364000000,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",52000000,,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,12.9715987,77.5945627
Dukaan,2020,Bangalore,Technology,42000000,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",6000000,Seed,Developer of an android application designed for businesses to sell online.,12.9715987,77.5945627
CredR,2020,Gurugram,Marketplace,14000000,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius",2000000,,India?s Only 100% Inspected and Certified Used Bikes Marketplace.,28.4594965,77.0266383
Satyukt,2020,Pune,AgriTech,3500000,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",500000,Seed,An agritech company that provides business to business (B2B) agricultural data,18.5204303,73.8567437
TREAD,2020,Bangalore,Fitness,7700000,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",1100000,Pre-seed,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,12.9715987,77.5945627
Anveshan,2020,Ahmedabad,FoodTech,700000,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000,Pre-seed,Provide quality and healthy food products,23.022505,72.5713621
TeaMonk,2020,Gurugram,Food & Beverages,6300000,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",900000,Pre-series A,India's Finest Specialty Tea company.,28.4594965,77.0266383
Fleetx,2020,New Delhi,Technology,21000000,"Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",3000000,Pre-series B,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",28.6139391,77.2090212
Avataa Me,2020,Bangalore,AR/VR,49000000,Gaurav Baid,Sequoia Capital India,7000000,Series A,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,12.9715987,77.5945627
Arrival,2020,Gurugram,Electric Vehicle,826000000,Denis Sverdlov,"UPS Ventures, Hyundai Motor Company",118000000,,Arrival is a technology company that specializes in developing electric vehicles.,28.4594965,77.0266383
Cover Genius,2020,Mumbai,Fintech,105000000,"Angus McDonald, Chris Bayley","King River Capital, Leap Capital",15000000,,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,19.0759837,72.8776559
Phononic Vibes,2020,Noida,Deeptech,16100000,"Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",,2300000,,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",28.5355161,77.3910265
Clair,2020,Bangalore,Fintech,31500000,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures",4500000,Seed,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,12.9715987,77.5945627
Miko,2020,Bangalore,Artificial Intelligence,21000000,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital",3000000,Pre-series B,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",12.9715987,77.5945627
Razorpay,2020,Bangalore,Fintech,700000000,"Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India",100000000,Series D,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",12.9715987,77.5945627
Ninjacart,2020,Mumbai,Food & Beverages,210000000,"Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan","Syngenta Ventures, Walmart",30000000,,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",19.0759837,72.8776559
